Sample,,,,,,,LPC 20:5 Results,,,LPC 14:0 Results,,,LPC 18:3 Results,,,LPC 16:1 Results,,,LPC 22:6 Results,,,LPC 15:0 Results,,,LPC 20:4 Results,,,LPC 18:2 Results,,,LPC 22:5 Results,,,LPC 17:1 Results,,,LPC 20:3 Results,,,LPC 16:0 Results,,,LPC 18:1 Results,,,LPC 20:2 Results,,,LPC 17:0 (IS) Results,,,LPC 18:0 Results,,,LPC 20:1 Results,,,LPC 19:0 (IS) Results,,,LPC 20:0 (IS) Results,,,LPC 22:1 Results,,,LPC 22:0 Results,,,LPC 24:0 Results,,,MHC d18:1/8:0 STD Results,,,MHC d18:1/16:0d3 (IS) Results,,,MHC d18:1/16:0 Results,,,MHC d18:1/18:0 Results,,,MHC d18:1/20:0 Results,,,MHC d18:1/22:0 Results,,,MHC d18:1/24:1 Results,,,MHC d18:1/24:0 Results,,
,,Name,Data File,Type,Level,Acq. Date-Time,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT,Area,FWHM,RT
!,,Sample13,3_3h.d,Sample,,6/15/2016 0:11,1523,0.085,2.196,7887,0.083,2.167,978,0.179,2.213,9571,0.114,2.409,2604,0.083,2.542,4751,0.081,2.593,11218,0.081,2.604,37901,0.078,2.635,963,0.091,2.737,1556,0.104,2.756,6875,0.091,2.844,723924,0.074,2.909,73349,0.085,3.026,1201,0.08,3.145,10257,0.142,3.149,223373,0.077,3.407,2079,0.083,3.462,739,0.144,3.615,10924,0.083,3.842,103,0.109,3.887,132,0.087,4.299,167,0.083,4.754,2988,0.076,3.84,2154,0.095,5.393,969,0.056,5.409,194,0.071,5.791,137,0.074,6.139,996,0.085,6.458,1011,0.067,6.456,1772,0.079,6.76
!,,Sample14,3_8h.d,Sample,,6/15/2016 0:23,1460,0.085,2.211,7422,0.084,2.172,918,0.168,2.213,9284,0.132,2.409,2926,0.082,2.557,4984,0.08,2.593,11528,0.081,2.604,36589,0.078,2.635,1342,0.088,2.737,1556,0.109,2.756,7810,0.094,2.844,801013,0.074,2.909,78753,0.085,3.026,1435,0.083,3.145,11782,0.139,3.149,257914,0.077,3.392,2360,0.084,3.462,817,0.134,3.615,11037,0.082,3.842,151,0.096,3.872,128,0.077,4.299,226,0.091,4.769,2847,0.077,3.825,2204,0.087,5.393,890,0.085,5.394,119,0.072,5.791,173,0.08,6.124,1231,0.079,6.473,1026,0.11,6.472,1731,0.08,6.76
!,,Sample15,3_16h.d,Sample,,6/15/2016 0:35,1617,0.088,2.211,9742,0.084,2.166,936,0.153,2.213,11036,0.136,2.409,3277,0.086,2.557,6258,0.079,2.593,12702,0.081,2.604,39844,0.079,2.635,1374,0.084,2.737,1745,0.105,2.756,8057,0.091,2.859,910587,0.075,2.909,93682,0.086,3.026,1722,0.082,3.145,13803,0.143,3.149,331910,0.077,3.407,3156,0.083,3.462,1062,0.141,3.615,11851,0.082,3.842,199,0.097,3.887,146,0.088,4.299,167,0.092,4.754,2962,0.076,3.825,1820,0.092,5.393,1284,0.088,5.409,211,0.075,5.775,198,0.085,6.154,1772,0.087,6.473,1117,0.078,6.472,2001,0.079,6.76
!,,Sample16,4_untreated.d,Sample,,6/15/2016 0:47,9732,0.087,2.196,37524,0.083,2.165,6416,0.164,2.213,54867,0.1,2.409,13326,0.086,2.542,20599,0.081,2.593,78465,0.08,2.619,295662,0.076,2.635,5063,0.17,2.737,6327,0.102,2.756,35606,0.092,2.844,2403221,0.079,2.909,326469,0.084,3.026,3990,0.088,3.145,36314,0.152,3.149,846623,0.079,3.392,4204,0.094,3.462,2243,0.148,3.615,12864,0.084,3.842,291,0.138,3.872,315,0.088,4.299,766,0.101,4.769,3362,0.075,3.825,1002,0.094,5.409,1761,0.082,5.409,501,0.082,5.791,475,0.085,6.139,4848,0.085,6.458,4091,0.077,6.456,6998,0.078,6.76
!,,QC,36_PQC_14.d,Sample,,6/15/2016 1:11,2891,0.089,2.196,11837,0.083,2.167,2526,0.171,2.213,14568,0.124,2.409,3622,0.085,2.557,7644,0.08,2.593,23062,0.082,2.604,118197,0.077,2.635,2214,0.086,2.737,2386,0.108,2.756,12659,0.093,2.859,1017377,0.075,2.909,155408,0.083,3.026,1732,0.087,3.145,15032,0.15,3.149,316596,0.077,3.407,2670,0.085,3.462,1066,0.132,3.63,11306,0.084,3.842,154,0.114,3.872,244,0.101,4.299,353,0.085,4.754,2974,0.076,3.84,1629,0.094,5.409,1277,0.086,5.409,122,0.071,5.775,125,0.081,6.154,1471,0.076,6.458,1275,0.079,6.456,1897,0.077,6.76
!,,Sample17,4_30m.d,Sample,,6/15/2016 1:23,1740,0.09,2.196,6990,0.084,2.165,1150,0.164,2.213,8383,0.124,2.409,2022,0.147,2.542,4683,0.08,2.593,17671,0.082,2.604,64116,0.078,2.635,1444,0.086,2.737,1258,0.133,2.756,6969,0.152,2.844,549348,0.074,2.909,73507,0.085,3.026,888,0.086,3.145,8627,0.142,3.149,144083,0.08,3.407,1049,0.099,3.462,624,0.125,3.615,10677,0.085,3.842,60,0.128,3.872,125,0.09,4.299,226,0.095,4.754,3013,0.077,3.825,2126,0.089,5.409,1308,0.084,5.409,139,0.087,5.791,103,0.068,6.154,974,0.068,6.458,610,0.096,6.472,1234,0.079,6.76
!,,Sample18,4_3h.d,Sample,,6/15/2016 1:35,1951,0.087,2.196,8230,0.084,2.163,1147,0.159,2.213,9932,0.148,2.409,2287,0.084,2.542,5672,0.081,2.593,19387,0.082,2.604,63855,0.078,2.635,1665,0.092,2.737,1512,0.106,2.756,7821,0.1,2.844,717729,0.074,2.894,88197,0.088,3.011,1036,0.087,3.145,10606,0.144,3.149,193216,0.08,3.407,1477,0.088,3.462,697,0.145,3.63,10544,0.084,3.842,85,0.138,3.887,138,0.091,4.299,184,0.088,4.769,2948,0.076,3.825,1781,0.09,5.393,766,0.081,5.409,123,0.085,5.791,64,0.086,6.17,1199,0.079,6.473,490,0.079,6.472,1430,0.075,6.76
!,,Sample19,4_8h.d,Sample,,6/15/2016 1:47,1951,0.088,2.196,8614,0.082,2.166,1061,0.15,2.213,9987,0.153,2.409,2273,0.088,2.557,5893,0.082,2.593,19228,0.082,2.619,59593,0.078,2.635,1843,0.16,2.737,1640,0.117,2.756,7825,0.095,2.859,762926,0.074,2.909,92767,0.086,3.026,1207,0.087,3.145,11182,0.146,3.149,214944,0.079,3.407,1723,0.088,3.462,769,0.092,3.615,10684,0.084,3.842,101,0.1,3.887,134,0.089,4.299,268,0.143,4.769,3014,0.075,3.825,2158,0.092,5.409,1089,0.088,5.409,74,0.133,5.806,108,0.085,6.139,1148,0.084,6.473,628,0.091,6.472,1405,0.08,6.76
!,,Sample20,4_16h.d,Sample,,6/15/2016 1:59,2178,0.089,2.211,9482,0.083,2.17,1227,0.151,2.228,11159,0.159,2.425,2430,0.089,2.557,7437,0.078,2.593,21947,0.081,2.619,64972,0.077,2.635,2096,0.086,2.737,1888,0.108,2.756,9164,0.097,2.859,953525,0.075,2.909,110760,0.087,3.026,1503,0.082,3.145,14192,0.151,3.149,266676,0.079,3.392,2206,0.086,3.462,1003,0.144,3.615,11308,0.084,3.842,103,0.04,3.887,156,0.092,4.299,238,0.09,4.754,3137,0.076,3.825,1908,0.096,5.393,1050,0.08,5.409,87,0.052,5.791,53,0.103,6.154,1066,0.076,6.473,659,0.091,6.472,1570,0.065,6.76
